iter	Passed	Remaining
0	70	70257
1	71	35835
2	73	24389
3	74	18657
4	76	15213
5	77	12873
6	79	11231
7	80	9983
8	81	9011
9	83	8244
10	87	7842
11	88	7298
12	90	6841
13	92	6483
14	93	6168
15	95	5863
16	97	5609
17	103	5660
18	109	5660
19	110	5433
20	113	5292
21	115	5119
22	123	5243
23	153	6229
24	156	6094
25	158	5931
26	160	5767
27	162	5635
28	166	5567
29	167	5415
30	169	5286
31	173	5235
32	175	5133
33	177	5034
34	178	4926
35	180	4824
36	181	4726
37	183	4640
38	184	4545
39	186	4482
40	188	4414
41	190	4350
42	192	4281
43	194	4217
44	195	4148
45	196	4078
46	197	4014
47	199	3954
48	204	3965
49	205	3912
50	207	3860
51	209	3812
52	210	3766
53	211	3712
54	213	3664
55	214	3620
56	216	3587
57	218	3544
58	219	3500
59	220	3458
60	222	3432
61	225	3409
62	229	3407
63	232	3399
64	234	3371
65	236	3340
66	238	3325
67	239	3284
68	241	3260
69	243	3235
70	245	3207
71	246	3177
72	248	3153
73	250	3131
74	251	3104
75	253	3085
76	255	3068
77	258	3050
78	259	3027
79	261	3010
80	263	2987
81	264	2965
82	266	2945
83	268	2923
84	268	2895
85	270	2876
86	271	2849
87	273	2831
88	274	2809
89	276	2793
90	278	2786
91	280	2769
92	282	2751
93	283	2734
94	284	2714
95	286	2693
96	287	2674
97	288	2654
98	290	2639
99	291	2622
100	292	2606
101	293	2582
102	294	2564
103	296	2551
104	297	2538
105	298	2520
106	300	2505
107	301	2490
108	302	2474
109	304	2461
110	305	2445
111	306	2431
112	308	2419
113	309	2408
114	311	2396
115	313	2386
116	314	2375
117	315	2361
118	317	2347
119	318	2333
120	319	2320
121	320	2308
122	321	2289
123	322	2278
124	324	2268
125	326	2261
126	330	2269
127	331	2258
128	333	2249
129	334	2238
130	335	2228
131	336	2215
132	338	2204
133	339	2192
134	340	2182
135	343	2181
136	344	2171
137	346	2162
138	347	2152
139	348	2141
140	349	2130
141	350	2119
142	351	2108
143	352	2098
144	354	2090
145	356	2083
146	360	2091
147	365	2101
148	367	2099
149	369	2092
150	372	2096
151	374	2089
152	376	2081
153	377	2073
154	378	2064
155	379	2055
156	381	2047
157	383	2041
158	385	2040
159	387	2035
160	389	2028
161	390	2018
162	391	2010
163	392	2001
164	394	1994
165	395	1985
166	396	1977
167	397	1968
168	399	1962
169	401	1958
170	402	1950
171	403	1941
172	404	1933
173	405	1926
174	407	1920
175	408	1912
176	409	1903
177	410	1896
178	412	1889
179	413	1882
180	413	1872
181	415	1867
182	417	1861
183	418	1855
184	419	1848
185	420	1841
186	422	1835
187	423	1829
188	424	1823
189	425	1815
190	427	1811
191	429	1806
192	430	1801
193	432	1795
194	433	1791
195	435	1786
196	436	1780
197	438	1775
198	439	1770
199	441	1764
200	442	1759
201	443	1753
202	445	1747
203	446	1742
204	448	1738
205	449	1733
206	451	1729
207	453	1725
208	454	1721
209	456	1716
210	457	1712
211	459	1707
212	460	1703
213	462	1698
214	464	1694
215	466	1691
216	467	1687
217	469	1683
218	471	1679
219	473	1677
220	475	1675
221	477	1673
222	478	1668
223	482	1672
224	485	1670
225	488	1673
226	496	1689
227	501	1697
228	506	1706
229	508	1702
230	510	1698
231	512	1695
232	514	1692
233	515	1687
234	517	1683
235	518	1678
236	520	1674
237	521	1670
238	523	1666
239	524	1661
240	526	1657
241	527	1653
242	529	1649
243	531	1645
244	532	1641
245	539	1654
246	541	1650
247	543	1646
248	545	1645
249	547	1641
250	551	1646
251	553	1642
252	554	1636
253	556	1635
254	561	1640
255	563	1636
256	564	1632
257	565	1627
258	566	1621
259	568	1618
260	570	1614
261	572	1611
262	575	1612
263	577	1609
264	578	1605
265	580	1601
266	581	1596
267	583	1592
268	586	1592
269	588	1590
270	589	1586
271	591	1582
272	592	1578
273	594	1574
274	595	1571
275	597	1567
276	598	1563
277	600	1559
278	601	1554
279	603	1551
280	604	1546
281	606	1543
282	607	1540
283	609	1537
284	611	1533
285	612	1530
286	614	1526
287	615	1522
288	617	1518
289	618	1514
290	620	1510
291	621	1506
292	622	1502
293	624	1498
294	625	1495
295	626	1491
296	629	1491
297	631	1488
298	633	1485
299	635	1482
300	637	1479
301	638	1476
302	640	1474
303	642	1470
304	643	1466
305	648	1470
306	650	1467
307	652	1466
308	654	1462
309	655	1459
310	657	1456
311	659	1453
312	660	1449
313	662	1446
314	663	1443
315	665	1440
316	667	1437
317	669	1436
318	671	1433
319	674	1432
320	675	1428
321	676	1424
322	678	1421
323	679	1417
324	681	1415
325	683	1413
326	685	1410
327	687	1407
328	688	1404
329	689	1400
330	691	1397
331	696	1401
332	698	1398
333	699	1394
334	700	1391
335	701	1387
336	703	1383
337	704	1379
338	705	1376
339	709	1377
340	712	1376
341	713	1372
342	715	1369
343	716	1366
344	718	1363
345	719	1360
346	720	1356
347	722	1354
348	725	1352
349	726	1349
350	727	1345
351	729	1343
352	731	1340
353	732	1336
354	733	1333
355	735	1329
356	741	1335
357	742	1331
358	744	1328
359	745	1324
360	746	1321
361	747	1317
362	749	1314
363	750	1312
364	753	1310
365	755	1308
366	758	1307
367	759	1304
368	760	1300
369	761	1297
370	763	1294
371	764	1291
372	766	1288
373	768	1285
374	769	1282
375	770	1278
376	771	1275
377	772	1271
378	773	1267
379	774	1264
380	775	1260
381	776	1256
